"Acacia koaia","Achyranthes mutica","Adenophorus hymenophylloides","Adenophorus periens","Adenophorus tripinnatifidus","Agrostis sandwicensis","Alyxia oliviformis","Alyxia stellata","Amauropelta globulifera","Anoectochilus sandvicensis","Antidesma platyphyllum","Arachniodes insularis","Argemone glauca","Artemisia australis","Asplenium acuminatum","Asplenium caudatum","Asplenium excisum","Asplenium hobdyi","Asplenium horridum","Asplenium lobulatum","Asplenium macraei","Asplenium nidus","Asplenium normale","Asplenium polyodon","Asplenium sphenotomum","Asplenium unilaterale","Athyrium microphyllum","Bidens hawaiensis","Bidens menziesii","Bobea elatior","Bobea timonioides","Boehmeria grandis","Broussaisia arguta","Calamagrostis expansa","Callistopteris baldwinii","Canavalia hawaiiensis","Canthium odoratum","Carex alligata","Carex meyenii","Chamaesyce multiformis","Charpentiera obovata","Charpentiera tomentosa","Cheirodendron trigynum","Chenopodium oahuense","Cibotium chamissoi","Cibotium menziesii","Claoxylon sandwicense","Clermontia calophylla","Clermontia drepanomorpha","Clermontia kohalae","Clermontia parviflora","Clermontia waimeae","Colubrina oppositifolia","Coniogramme pilosa","Coprosma cymosa","Coprosma granadensis","Coprosma menziesii","Coprosma pubens","Coprosma rhynchocarpa","Crepidomanes draytoniana","Ctenitis latifrons","Cyanea floribunda","Cyanea pilosa","Cyanea platyphylla","Cyanea tritomantha","Cyclosorus hudsonianus","Cyclosorus interruptus","Cyclosorus sandwicensis","Cyperus fauriei","Cyperus hypochlorus","Cyperus phleoides","Cyrtandra kohalae","Cyrtandra paludosa","Cyrtandra platyphylla","Cyrtomium caryotideum","Deparia fenzliana","Deparia marginalis","Deparia prolifera","Dianella sandwicensis","Dichanthelium hillebrandianum","Digitaria setigera","Diospyros sandwicensis","Diplazium arnottii","Diplazium sandwichianum","Diplopterygium pinnatum","Doodia kunthiana","Doodia lyonii","Doryopteris decipiens","Doryopteris decora","Dryopteris crinalis","Dryopteris fusco-atra","Dryopteris hawaiiensis","Dryopteris sandwicensis","Dryopteris unidentata","Dryopteris wallichiana","Dubautia plantaginea","Elaphoglossum parvisquameum","Elaphoglossum pellucidum","Elaphoglossum wawrae","Embelia pacifica","Eragrostis atropioides","Eragrostis grandis","Eragrostis monticola","Eragrostis variabilis","Erythrina sandwicensis","Eurya sandwicensis","Gahnia beecheyi","Grammitis hookeri","Grammitis tenella","Gunnera petaloidea","Haplopteris elongata","Hedyotis acuminata","Hedyotis hillebrandii","Hedyotis terminalis","Hibiscus kokio","Huperzia erubescens","Huperzia phyllantha","Hymenophyllum obtusum","Hypolepis hawaiiensis","Ilex anomala","Ipomoea indica","Isachne distichophylla","Joinvillea ascendens","Kadua acuminata","Kadua affinis","Kadua axillaris","Korthalsella complanata","Korthalsella cylindrica","Korthalsella latissima","Korthalsella remyana","Labordia hedyosmifolia","Labordia hirtella","Labordia tinifolia","Lellingeria saffordii","Liparis hawaiensis","Lipochaeta lavarum","Lipochaeta subcordata","Lobelia hypoleuca","Lycopodium venustulum","Mariscus fauriei","Mariscus hypochlorus","Mariscus phleoides","Melanthera lavarum","Melanthera subcordata","Melicope clusiifolia","Melicope hawaiensis","Melicope pseudoanisata","Melicope radiata","Melicope volcanica","Microsorum spectrum","Myrsine lanaiensis","Myrsine sandwicensis","Neraudia ovata","Nertera granadensis","Nestegis sandwicensis","Nothocestrum breviflorum","Nothoperanema rubiginosa","Nototrichium sandwicense","Ochrosia haleakalae","Oreobolus furcatus","Panicum pellitum","Panicum tenuifolium","Paspalum scrobiculatum","Peperomia cookiana","Peperomia hypoleuca","Peperomia latifolia","Peperomia ligustrina","Peperomia obovatilimba","Peperomia remyi","Peperomia tetraphylla","Perrottetia sandwicensis","Phyllostegia ambigua","Phyllostegia brevidens","Phyllostegia floribunda","Phyllostegia macrophylla","Phyllostegia vestita","Phyllostegia warshaueri","Phytolacca sandwicensis","Pilea peploides","Pisonia brunoniana","Pisonia umbellifera","Pittosporum hawaiiense","Pittosporum hosmeri","Plantago pachyphylla","Plantago princeps","Platydesma remyi","Platydesma spathulata","Pleomele hawaiiensis","Pneumatopteris hudsoniana","Pneumatopteris sandwicensis","Portulaca sclerocarpa","Pouteria sandwicensis","Pritchardia lanigera","Pseudophegopteris keraudreniana","Psilotum complanatum","Psychotria mauiensis","Psydrax odorata","Pteris excelsa","Pteris hillebrandii","Pteris irregularis","Rauvolfia sandwicensis","Reynoldsia sandwicensis","Rhus sandwicensis","Rhynchospora chinensis","Rubus hawaiensis","Sadleria souleyetiana","Sadleria squarrosa","Santalum ellipticum","Scaevola chamissoniana","Schiedea diffusa","Schizaea robusta","Schoenoplectus juncoides","Sicyos alba","Sicyos anunu","Sicyos cucumerinus","Sicyos lasiocephalus","Sicyos macrophyllus","Smilax melastomifolia","Solanum incompletum","Sophora chrysophylla","Sphaerocionium lanceolatum","Sphaerocionium obtusum","Stenogyne calaminthoides","Stenogyne cranwelliae","Sticherus owhyhensis","Streblus pendulinus","Strongylodon ruber","Tectaria gaudichaudii","Tetraplasandra hawaiensis","Tetraplasandra kavaiensis","Tetraplasandra oahuensis","Thelypteris globulifera","Touchardia latifolia","Trematolobelia grandifolia","Urera glabra","Vaccinium dentatum","Vandenboschia draytoniana","Viola maviensis","Wikstroemia pulcherrima","Xylosma hawaiiense","Zanthoxylum dipetalum","Zanthoxylum hawaiiense"
"Balclutha usitata",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Balclutha volcanicola",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Iolania perkinsi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Neseis hiloensis intermedius",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Neseis nitida pipturi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Neseis fasciata fasciata",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Neseis whitei whitei",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nesiomiris williamsi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nesiomiris hawaiiensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
